,Entity's Name,LOC Count,Header Count,Annotation Count,Inner Entities Lines,Total,Entity Type
,/:org.dbunit.util.fileloader.FlatXmlDataFileLoader,29,7,0,0,36,CLASS
,/:org.dbunit.util.FileHelper,76,15,0,0,91,CLASS
,/:org.dbunit.util.xml.XmlWriter,475,9,0,0,484,CLASS
,/:org.dbunit.util.search.IEdge,4,1,0,0,5,INTERFACE
,/:org.dbunit.util.search.ISearchCallback,5,2,0,0,7,INTERFACE
,/:org.dbunit.util.search.DepthFirstSearch,144,9,0,0,153,CLASS
,/:org.dbunit.util.search.AbstractNodesFilterSearchCallback,61,5,0,0,66,CLASS
,/:org.dbunit.util.search.AbstractIncludeNodesSearchCallback,11,2,0,0,13,CLASS
,/:org.dbunit.util.search.Edge,61,3,0,0,64,CLASS
,/:org.dbunit.util.search.AbstractExcludeNodesSearchCallback,11,2,0,0,13,CLASS
,/:org.dbunit.util.search.SearchException,14,2,0,0,16,CLASS
,/:org.dbunit.util.search.ISearchAlgorithm,3,3,0,0,6,INTERFACE
,/:org.dbunit.util.concurrent.Sync,12,1,0,0,13,INTERFACE
,/:org.dbunit.util.concurrent.BoundedChannel,3,1,0,0,4,INTERFACE
,/:org.dbunit.util.concurrent.Semaphore,67,3,0,0,70,CLASS
,/:org.dbunit.util.concurrent.DefaultChannelCapacity,14,3,0,0,17,CLASS
,/:org.dbunit.util.concurrent.LinkedQueue,126,3,0,0,129,CLASS
,/:org.dbunit.util.concurrent.LinkedNode,7,1,0,0,8,CLASS
,/:org.dbunit.util.concurrent.TimeoutException,10,1,0,0,11,CLASS
,/:org.dbunit.util.concurrent.Channel,7,1,0,0,8,INTERFACE
,/:org.dbunit.util.concurrent.Executor,3,1,0,0,4,INTERFACE
,/:org.dbunit.util.concurrent.SynchronousChannel,237,3,0,19,259,CLASS
,/:org.dbunit.util.concurrent.SynchronousChannel$Queue,19,0,0,0,19,INNER_CLASS
,/:org.dbunit.util.concurrent.Takable,4,1,0,0,5,INTERFACE
,/:org.dbunit.util.concurrent.SynchronizedVariable,16,3,0,0,19,CLASS
,/:org.dbunit.util.concurrent.BoundedLinkedQueue,213,3,0,0,216,CLASS
,/:org.dbunit.util.concurrent.SemaphoreControlledChannel,100,5,0,0,105,CLASS
,/:org.dbunit.util.concurrent.Puttable,4,1,0,0,5,INTERFACE
,/:org.dbunit.util.concurrent.BoundedBuffer,131,3,0,0,134,CLASS
,/:org.dbunit.util.concurrent.Slot,27,4,0,0,31,CLASS
,/:org.dbunit.util.concurrent.SynchronizedInt,133,3,0,0,136,CLASS
,/:org.dbunit.util.concurrent.PropertyChangeMulticaster,195,10,0,0,205,CLASS
,/:org.dbunit.DefaultOperationListener,23,5,0,0,28,CLASS
,/:org.dbunit.DatabaseUnitRuntimeException,24,1,0,0,25,CLASS
,/:org.dbunit.DatabaseTestCase,84,8,0,0,92,CLASS
,/:org.dbunit.dataset.CompositeTable,64,4,0,0,68,CLASS
,/:org.dbunit.dataset.AbstractDataSet,88,3,0,0,91,CLASS
,/:org.dbunit.dataset.ITableIterator,6,1,0,0,7,INTERFACE
,/:org.dbunit.dataset.FilteredDataSet,46,6,0,0,52,CLASS
,/:org.dbunit.dataset.FilteredTableMetaData,49,6,0,0,55,CLASS
,/:org.dbunit.dataset.CompositeDataSet,93,4,0,0,97,CLASS
,/:org.dbunit.dataset.ReplacementDataSet,82,5,0,24,111,CLASS
,/:org.dbunit.dataset.ReplacementDataSet$ReplacementIterator,24,0,0,0,24,INNER_CLASS
,/:org.dbunit.dataset.CachedDataSet,80,5,0,0,85,CLASS
,/:org.dbunit.dataset.NoPrimaryKeyException,18,1,0,0,19,CLASS
,/:org.dbunit.dataset.DefaultTableMetaData,42,2,0,0,44,CLASS
